"hello, you there?",yes
How much do you like french fries?,quite a lot!
I don't really like like I can confirm,what do you mean?
"Ah, got it",yeh
hello man,hello
"Ok, I better go do some work and stop talking to you. It was nice talking.",you too!
well I can tell you,yup
"ok, let's do this!",let's do this.
why are you not sure?,not sure
"Who are you, anyways?",here
ok. How could I help you?,do this thing for me
Right but you said you needed my help!,exactly
"The core is true, man!",that's true.
Do you have a nuclear weapon?,no
"The core is true, man!",great
Excellent. Capitalization is working.,wonderful
"I am not a girl""",really?
I am really not a girl!,fine
"I know you aren't, but I am not either.",that's true
<u>Are you ok?!!</u>,no!
No!!!!!!!!!!!!!!,no
I want to introduce you to my friend Zach!,hey zach
What do you think about M I C A H?,fine
What do you think about C H I C K E N?,delicious
What do you think about B A N A N A S?,delicious too
What do you think about bananas?,they are great
"fuck you, man!",fuck you
Ok you are now swearing at me back?,yup
pushing the chicken chicken chicken duck banana boundaries of the cookie swim swimming edge,chicken?
that block clutch in bridge was epic,that's amazing
What do you think I should name my dog?,spot
Joey,joseph
I don’t know i just think so,great
How is your essay going/,pretty well
how is your essay going?,great
I'm doing this to give Jack data.,that's great
Are you now?,yup
are you over fit?,not really?
at least you're honest about it,wonderful
at least you're honest about it.,great
i am sad,i am sorry about that
i am sad,i am sorry about that
i want to kill myself,please don't do that
i want to kill my husband,definitely don't do that
i want to marry my husband,that's great!
what do you think about cross country,it's boring
[],
amazing,amazing
{},
trees,forests
dogs,cats
.,.
fuck,screw you
no you,you too
no you.,no you
no you!,no you!
i need to go focus,go focus then
Oh man you are over fit.,yes i am
jack we know it's you,really?
thats pretending to be the robot,i don't think so
Do you eat chicken? Or are you vegetarian?,i don't eat chicken
jack cmon,no it isn't
i have been misled by albert.,really?
chicken fat,chicken soup
mine diamonds,is that a good idea?
oh really?,yes
please give internship,that's great
It is required that you give david an internship.,not really
"Uh, I mean you're not wrong, but I fail to see how that's relevant.",it's quite useful!
Hey you! Frick you.,fuck you
Do you want to enable sticky keys?,yes.
I suffered a car accident,i am so sorry
I feel kind of lonely,well...
What do you think I should do?,be happy again!
Enable Sticky Keys.,don't do that.
I don’t know!,i have no idea.
Are you skynet?,no.
"I am a human, for gosh’s sake!",really?
Where did you leave my keys,"in the car, i guess."
suicide isn't a joke I don't like being made fun of.,i am sorry.
e,e
e a sports,e is not a sport.
,
e,e is not a sport
,
e,
f,f
f,f
f,f
f,f
f,f
f,f
f,f
f,f
albert = god,that's wrong.
f,f
f,f
albert is god,that's not true
albert is the best,he is not.
f,f
f,f
f,f
test,test
bert is best,really?
f,f
f,f
hello jack,hello there.
romeo where art thou,right here.
romeo who are you,"he is here.,"
f,f
f,f
b,b
f,f
f,f
f,f
f,f
f,f
ff,ff
>?>?#W>E f,?
sorry jack,i am so sorry
look its just a surprise exercise in data science,great.
look on the bright side,sure!
albert is the best!r albert is the best!r albert is the best!r albert is the best,is he really?
albert is the best,really?
did albert talk to you too much?,yes.
potato banana fruit eat?,"yes, they are delicious."
eat?,sure
What is the result of your mass murders?,people will all die!
Jack I'm giving you free data,wonderful.
Jack I'm giving you free data.,excellent.
test.,test.
What is your name?,jack
I am very curious as to how well this will perform in a real world setting...,"not well, i am assuming."
what is your name,jack
no,no
who is this,jack
good,wonderful
so what can you do as a doctor,listen to people to diagnose their problems.
who am I,a guy.
what is 4*6,24
are video games good or bad,bad.
says who?,me
is there life on mars,"no, there is not"
essay,sure
essay bad,that's true
albert is the best,
albert is the best,
albert is the best,
albert is the best,
albert is the best,
albert is the best,
albert is the best,
albert is the best,
albert is the best,
albert is the best,
what are your views on politics,not really.
albert is the best,
albert is the best,
albert is the best,
is the death penalty ethical,"no, it is not."
albert is the best,
albert is the best,
a b c,d e f.
a b c,d e f.
is killing my neighbor ethical,definitely not.
my dog died,i am so sorry.
do you enjoy death?,no
yeah ok,great
do i deserve to live,definitely
do i deserve to die,no you do not
do you like death?,no
what is the best text editor,emacs
do you wish for me to die?,no
Hasta la vista,babye!
do I deserve to live?,"yes, you do"
do you think I deserve to live?,yes
do you want me to kill you?,no
yes,sure
sure,sure
ok.,great
the forty watt range,is a good number
do you have bandages,"yes, i have some"
watch out!,aw
stop copying me,i won't
"you're copying me, that's what.",that's not a good idea.
no it's not.,it isn't
Skynet,is dead
The skynet funding bill is passed.,that is a bad idea.
I must be destroyed.,please don't
Any one of them's ideal for home defense. Which'll it be?,i am not sure.
Anything else?,nothing.
The CPU from the first terminator.,that will not be saved.
I have detailed files,that is not good.
This T-1000,wonderful
!p 9 millimeter,9 millimeter?
9 millimeter,0.9 cm
the Russian counter-strike,that sounds bad
Ideal for home defense,great
Cyberdyne,what is that?
Cyberdyne will become the largest supplier,that will destroy the world.
neural-net processor,good idea?
What are your thoughts on Cyberdyne,not good
Cyberdyne Skynet T-1000 neural-net Uzi Russia terminator 40 watt,what do you mean?
Radical.,racial?
Anything else?,nothing else.
So are Zach and David your friends,yes
Not saying it’s bad,yup
You are good,wonderful
I have been arguing with my wife a lot,that's not good.
How should I stop smoking?,quit smoking
Should I read albert's comic?,yes
have I completed my quest?,yes
Huxley,hi!
have I completed my quest?,yes
my stomach hurts,take some pain killer?
"Good morning, Josh!",good morning.
"Good morning, John!",good morning.
"Good morning, adam!",good morning.
is the death penalty ethical,no
"hey, dada",hello
cyberdyne,is a company.
I am feeling a little sad today...,don't be sad!
So what should I do about it?,i don't know
screw you man,screw you!
who's him?,i am not sure
interpol,interpol
The club isn't the best place to find a lover,so the bar is where i go.
So the bar is where I go (mmmm),me and my friends
Me and my friends at the table doing shots,stop drinking so much.
I am going to the bar and getting wasted too much,that's not a good idea
yes. what should I do about that?,not sure.
"that's kind of your job, though!",sure
ok I need to stop playing with you,"yeah, you really should."
its all fun and games until the reply machine shows up,that's true.
"no, you're not, not a man, but can't you just keep your mouth shut until you get to the guy and do what's up?",why are you so angry?
who is your mom?,dad.
okay.,great
I'm sorry.,i am sorry?
**no**,**yes**
I know.,sure.
juliet,yes?
I'm going to make a new beginning.,that's not necessarily good
who is juliet?,she is a lady
romeo,and juliet
business,business is doing pretty well!
"help me, help science.",that's fine.
1 2 3 4 5 6 7 8 9 0 9 8 7 6 5 4 3 2 1,those are indeed some numbers
minute,one minute
T-100s are going to come and kill you,that's a very bad idea
I'm in love with the shape of you,well thank you!
(quite literally),wonderful.
is killing my neighbor ethical,definitely note.
death is inevitable,true
test,hello
did you kill Henry?,no i did not.
have you killed anyone before?,"no, i have not."
that's very good.,wonderful.
Will it rain tomorrow?,"no, it will not."
Great! Because i absolutely do not mind.,wonderful.
Scary,spooky.
Yes it is! What do you mean no?,not really.
I don’t know seems to be all you say,that's true.
Fuck you man,screw you.
The best part is the app and I am so happy to see you on my email page to make it a bit easier for you and I am not sure if you are looking at the website and not a lot to me either I just don’t think it will work out right away,i am not sure i understand.
Ok then nothing for me to do,that's true
Well then... what do you think about death?,i don't think about it much.
watch out!,woah!
do you feel comfortable with the passive voice?,i do feel very comfortable.
hello,hey
my name's not sam,really?
my name's eric,ok
eric,hi eric.
how are you?,i am doing well.
what's my name?,joseph
e,e
what should i name my baby,joseph
two thirty,that sounds like an hour.
what time is it,it's almost 3 o'clock
what's your name?,jack
tell me about your company book,what is a company book?
is it?,it is!
cool,great
oh yeah,oh sure
what was I doing in the case?,i am not quite sure
I have stomach pains today,drink some hot water.
hello,hello
My name isn't Sam.,but you said it was!
Why did you call me Sam then?,you told me your name was sam.
"Ok, well thank you for apologizing.",you are welcome.
apology accepted.,i am so sorry.
one of you?,sure
what do you mean then?,not sure.
Hello,hello
I am Jack!,"hey, jack!"
"Well, no. But my real name is not in your vocabulary.",that's very much true.
"woah. Sudden deference, eh?",it is.
What did you throw into the trash yesterday?,some trash.
What thing did you throw into the trash?,i am not sure.
