questionID,questionUrl,questionTitle,therapistName,questionText,answerText
5566fab2a64752d71ec3ca69,https://counselchat.com/questions/escalating-disagreements-between-mother-and-wife,Escalating disagreements between mother and wife,"Kristi King-Morgan, LMSW","My wife and mother are having tense disagreements. In the past, they’ve had minor differences. For example, my wife would complain to me my mother is too overbearing; my mother would complain my wife is lazy.
However, it’s intensified lately. I think the cause is my wife talked back to her once. Now, any little disagreement is magnified, leading to major disagreements. What can I do?","What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
5566f94fa64752d71ec3ca64,https://counselchat.com/questions/i-m-addicted-to-smoking-how-can-i-stop,I'm addicted to smoking. How can I stop?,Rebecca Duellman,"I'm planning to have baby, so I have to quit smoking - but it's hard. Sometimes it's not a physical need, it's mental.

I cannot help myself from thinking about smoking. What can I do to get rid of this addiction?","What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
5567d26887a1cc0c3f3d8f46,https://counselchat.com/questions/keeping-secrets-from-my-family,Keeping secrets from my family,Jeevna Bajaj,"I have secrets in my mind, and I don't know what to do with them. I don't want to tell my wife and mom because I don't want to hurt them. But I'm not sure how long that I can keep the secret to myself.

What should I do? It's becoming annoying and making me anxious. Help me out","What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
556bed15c969ba5861709df5,https://counselchat.com/questions/the-underlying-causes-of-being-possessive,The Underlying Causes of Being Possessive,Rebecca Duellman,I am extremely possessive in my relationships and this is hurting my friendships. How can I fix my underlying issues?,"What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
556ba115c969ba5861709de6,https://counselchat.com/questions/can-i-control-anxiety-without-medication,Can I control anxiety without medication?,Rebecca Duellman,I had a head injury a few years ago and my mind races all the time. I have trouble sleeping and have a lot of anxiety. Every medicine I have been on my body rejects; I get sick to my stomach and get blisters in my mouth. How can I calm my self down? I'm a wreck.,"What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
556b6940c969ba5861709de4,https://counselchat.com/questions/how-do-i-break-an-unhealthy-relationship-pattern,How do I break an unhealthy relationship pattern?,"Kristi King-Morgan, LMSW","I want a secure relationship with someone that wants to be with me and who will actually put effort into it.
I seem to gravitate toward unavailable men and those that want intimacy and no relationship. I let men dictate and control me because they accuse me of being controlling. I let men emotionally abuse me and I am at their beck and call.
I am not comfortable being alone or doing anything by myself. I feel I need the security of someone being around just to survive. I know what I'm doing wrong and I do it anyway just hoping things will change. How do I stop this behavior and thought process?","What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
556bec8cc969ba5861709df3,https://counselchat.com/questions/i-have-anger-issues-i-am-extremely-explosive-about-the-simplest-things,I have anger issues. I am extremely explosive about the simplest things,"Kristi King-Morgan, LMSW",I easily recognize this but have no control over it and need suggestions for managing my anger.,"What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
5566f9a2a64752d71ec3ca67,https://counselchat.com/questions/i-ve-suffered-from-insomnia-and-nightmares-for-about-3-years,I’ve suffered from insomnia and nightmares for about 3 years,Danielle Alvarez,"It takes me a long time to fall asleep; I’d estimate about two hours. I often have nightmares, starting with being eaten by a monster, and I often wake up frightened and unable to breathe.

I believe I started losing sleep after breaking up with a girlfriend of 8 years. Also, my father’s business went bankrupt and my mother has a chronic condition. I was under a lot of stress, and life lost meaning.

After improving my life and developing a habit of running and exercise to release stress, my symptoms improved. However in the past couple months, I started losing sleep again and having nightmares without warning. How can I solve this issue?","What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
5570b7fea03de6c365f45ba1,https://counselchat.com/questions/unethical-therapy-practices,Unethical Therapy Practices,"Kristi King-Morgan, LMSW",What do you do when a therapist and a parent drugs a child and makes up lies in order to stop the other parent's custody visitation?,"What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
556bf606c969ba5861709df8,https://counselchat.com/questions/my-friends-accusing-me-of-having-problems,My friends accusing me of having problems,Danielle Alvarez,They're calling me names like hypocrite and a baby even when they act in the same manner as I do. I'm tired of being called names. What should I do?,"What you are describing is something psychologists have termed ""triangulation"" which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been ""triangulated"" by your wife and mother."
