CheckpointID,ModelID,ModelVersion,Dataset,Initial Runtime,Current Time,Epoch,Loss,Checkpoint Filename
96099,63bb1,NOV252020_0,./trump_toys.csv,"11/25/2020, 19:48:29","11/25/2020, 19:51:23",0,6.262372970581055,63bb1-96099.model
432aa,63bb1,NOV252020_0,./trump_toys.csv,"11/25/2020, 19:48:29","11/25/2020, 19:53:28",1,6.262234687805176,63bb1-432aa.model
60a4d,63bb1,NOV252020_0,./trump_toys.csv,"11/25/2020, 19:48:29","11/25/2020, 19:55:22",2,6.262234210968018,63bb1-60a4d.model
b4f1f,63bb1,NOV252020_0,./trump_toys.csv,"11/25/2020, 19:48:29","11/25/2020, 19:57:21",3,6.262234210968018,63bb1-b4f1f.model
4b809,63bb1,NOV252020_0,./trump_toys.csv,"11/25/2020, 19:48:29","11/25/2020, 19:59:21",4,6.262234210968018,63bb1-4b809.model
236f8,63bb1,NOV252020_0,./trump_toys.csv,"11/25/2020, 19:48:29","11/25/2020, 20:01:16",5,6.262234210968018,63bb1-236f8.model
c3c41,63bb1,NOV252020_0,./trump_toys.csv,"11/25/2020, 19:48:29","11/25/2020, 20:03:13",6,6.262234210968018,63bb1-c3c41.model
9d0d1,63bb1,NOV252020_0,./trump_toys.csv,"11/25/2020, 19:48:29","11/25/2020, 20:05:13",7,6.262234210968018,63bb1-9d0d1.model
4f4cb,ec49f,NOV252020_0,./trump_toys.csv,"11/25/2020, 20:12:37","11/25/2020, 20:15:18",0,6.204639911651611,ec49f-4f4cb.model
d43ad,ec49f,NOV252020_0,./trump_toys.csv,"11/25/2020, 20:12:37","11/25/2020, 20:17:23",1,6.204422473907471,ec49f-d43ad.model
92c4a,ec49f,NOV252020_0,./trump_toys.csv,"11/25/2020, 20:12:37","11/25/2020, 20:19:29",2,6.204421520233154,ec49f-92c4a.model
04fa7,ec49f,NOV252020_0,./trump_toys.csv,"11/25/2020, 20:12:37","11/25/2020, 20:21:31",3,6.204421520233154,ec49f-04fa7.model
3f9b7,ec49f,NOV252020_0,./trump_toys.csv,"11/25/2020, 20:12:37","11/25/2020, 20:23:31",4,6.204421520233154,ec49f-3f9b7.model
35edf,ec49f,NOV252020_0,./trump_toys.csv,"11/25/2020, 20:12:37","11/25/2020, 20:25:43",5,6.204421520233154,ec49f-35edf.model
3d68e,ec49f,NOV252020_0,./trump_toys.csv,"11/25/2020, 20:12:37","11/25/2020, 20:28:16",6,6.204421520233154,ec49f-3d68e.model
20d80,ec49f,NOV252020_0,./trump_toys.csv,"11/25/2020, 20:12:37","11/25/2020, 20:31:21",7,6.204421520233154,ec49f-20d80.model
