parentID,replyID,parentHandle,replyHandle,parentText,replyText
1303006236078637064,1303084323537432577,realDonaldTrump,GarryGazza6,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",Stop snorting!
1302554416088834048,1303084321067204609,realDonaldTrump,PetiteLady123,"Be smart Baltimore! You have been ripped off for years by the Democrats, &amp; gotten nothing but poverty &amp; crime. It will only get worse UNLESS YOU ELECT KIMBERLY KLACIK TO CONGRESS. She brings with her the power &amp; ECONOMIC STRENGTH OF THE REPUBLICAN PARTY. She works sooo hard....",I grow up in Baltimore and I am successful. I am college educated and it had nothing to do with who was in office.  She will never get my vote.
1302946213608685568,1303084320802983946,realDonaldTrump,RoederMinnie,A so-called peaceful protest!,@RealMattCouch Why is this unavailable? Freedom of speech!
1302970414394740736,1303084319267749888,realDonaldTrump,JohnDSmith16,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","30 million jobs lost in just 4 weeks, a record!!!!!

Also sidebar, what is with the per word uppercase?
Strange..."
1302964489806139392,1303084319229894658,realDonaldTrump,JMewbourne,"Will be having a Labor Day News Conference today at the White House, 1:00 P.M. Jobs number, and the Economic comeback, are looking GREAT. Happy Labor Day!",And I thought your TV show was awful.
1302969740374298624,1303084299093188608,realDonaldTrump,DeeLGee1,"Biden Underperforming! @OANN What else is new, the story of his life.",@OANN 🥱
1302961482716639233,1303084291442835456,realDonaldTrump,markpot01268289,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!","Boy are you a dreamer, did you take your meds today."
1302970414394740736,1303084286288031744,realDonaldTrump,Santovena12,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","Now you need 240,000,000 more  !"
1303012637064802306,1303084282517180416,realDonaldTrump,CorinneAlice2,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews He used troops as a political prop by sending them on a phantom mission to the border and made them miss Thanksgiving with their families (Oct-Dec, 2018)"
1303006236078637064,1303084281732923392,realDonaldTrump,KARAinFLA,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!",🌊🌊
