parentID,replyID,parentHandle,replyHandle,parentText,replyText
1302970414394740736,1303083472383217665,realDonaldTrump,Michael93105,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",Your serious problem with numbers clearly explains the bankruptcy of all of your casinos. How do you bankrupt a casino ?
1302996272249548807,1303083471536033799,realDonaldTrump,kenmurp22110471,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",How come you hired him as your national security advisor?  What does that make you?
1303012637064802306,1303083467723300865,realDonaldTrump,markse59,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews  So Breitbart found one person to lie for you.

Given your statements about John McCain (which is on video and you can’t lie about)which were very similar to what The Atlantic reported, and your having lied over 20,000 times (proven)..... The Atlantic is truth!"
1303006236078637064,1303083466821566465,realDonaldTrump,KrisKoana,"Biggest &amp; Fastest Financial Recovery In History. Next year will be BEST EVER, unless a very Sleepy person becomes President and massively raises your taxes - In which case, CRASH!","Yes. Next year will be BEST EVER because you will no longer be president.
We will be able to put this nightmare behind us!"
1302675943241199618,1303083466322567169,realDonaldTrump,kaide27,These are the Democrats “peaceful protests”. Sick!,Next time pay attention in school Stop drop and roll. Do not run and shake because you will make it worse.
1302970414394740736,1303083465605287938,realDonaldTrump,dinicoladonald1,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",30 million jobs lost in 4 months a record still down A LOT.   But 👇👇
1303012637064802306,1303083460458885120,realDonaldTrump,michellesawyer6,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump  via @BreitbartNews Thanks Zach. Just more corrupt Fake News trying to change the course of our most important, ever, Election!","@BreitbartNews We heard you, you called our veterans losers and suckers. This article says nothing but lies. John Kelly never said one word yet. It’s Breitbart making you look like a good guy which you are rotten to the core. You lie and Breitbart lies. Again we heard you!"
1302961482716639233,1303083459284353024,realDonaldTrump,MilitantlyA,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!","Trump steaks, Trump casinos, Trump marriages, Trump vodka, Trump university, Trump trade wars --- and now, Trump ""vaccines"". 189,000 dead Americans."
1302961482716639233,1303083458189811714,realDonaldTrump,rdt124,"Starting to get VERY high marks in our handling of the Coronavirus (China Virus), especially when compared to other countries and areas of the world. Now the Vaccines (Plus) are coming, and fast!",good marks? US has 4% of the worlds population and close to 25% of the world's Covid deaths. Not even Moscow Mitch would say those are high marks.
1302970414394740736,1303083448656179200,realDonaldTrump,StanGF150,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",Where?
1302996272249548807,1303083446571593728,realDonaldTrump,KeithDRitchie,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",Americans know you two had a bromance.  Bolton just confirmed it. #BidenHarrisLandslide2020
1302972258034614273,1303083441315962881,realDonaldTrump,TeresaL31890300,"Rochester N.Y., Brooklyn N.Y., Portland - All had bad nights, all weakly run by Radical Left Democrat Governors and Mayors! Get the picture?",I see you're in a Great mood this Holiday weekend. 🌊
1302970414394740736,1303083440082911232,realDonaldTrump,shaneri33576332,"10.6 Million Jobs Created In Just 4 Months, A Record!!!",Fake news
1302970414394740736,1303083438568804353,realDonaldTrump,MarsNeedsTacos,"10.6 Million Jobs Created In Just 4 Months, A Record!!!","Those aren't new jobs dingus, its just some of the 30 million jobs lost due to your poor leadership and handling of Covid-19. 
You aren't fooling anyone by pretending things are running smoothly."
1302968271306711046,1303083438203863040,realDonaldTrump,s_carruth,Gordon Chang: China Seems ‘to Be Favoring Joe Biden‘ in Presidential Election  via @BreitbartNews. Of course they want Biden. I have taken $Billions from China and given it to our Farmers and U.S. Treasury. China would own the U.S. if Biden &amp; Hunter got in!,"@BreitbartNews No worries. Putin will protect you.
Russian efforts are aimed at boosting Trump’s reelection chances, while Chinese and Iranian efforts are in favor of former Vice President Joe Biden."
1302996272249548807,1303083435926392832,realDonaldTrump,broadwayterry,"Just heard that Wacko John Bolton was talking of the fact that I discussed “love letters from Kim Jong Un” as though I viewed them as just that. Obviously, was just being sarcastic. Bolton was such a jerk!",Oh come on; you were on your knees in front of him. He's been developing nukes and ballistic missiles to carry them on YOUR watch.
